Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
001 - / (),100,1725,267,57185,5718.75,0.000%,.90240,6.88,0.35,7803.9
015 - /MyFavorites (),100,1318,215,18546,2569.37,0.000%,.91038,6.09,0.40,6846.9
020 - /webfonts/fa-brands-400.woff2 (),100,534,22,8262,1068.08,0.000%,.92714,98.03,0.38,108270.0
021 - /webfonts/fa-solid-900.woff2 (),100,679,23,11422,1613.77,0.000%,.92853,136.35,0.38,150374.0
022 - /ratings (),100,1287,255,18589,2179.74,0.000%,.92804,0.20,0.50,219.0
023 - /Book/108827 (),100,2172,316,72171,7468.12,0.000%,.94075,4.30,0.42,4676.2
025 - /About (),100,578,89,3679,561.59,0.000%,.94935,3.03,0.42,3270.3
027 - / (),100,1014,242,11016,1284.03,0.000%,.95215,7.82,0.43,8411.5
,100,9312,1429,78743,10482.78,0.000%,.89260,252.68,3.15,289871.9
TOTAL,900,2069,22,78743,5545.88,0.000%,8.03342,505.35,6.30,64416.0
